Gene Symbol	102	121	148	153	169	44	45	79	96
A1CF	2.685899049	3.028034433	3.348314331	3.290580279	2.972656559	2.07906807	3.125673882	2.903524696	3.096806494
A2M	6.083556326	3.41045051	5.568544926	3.687904399	2.460930713	5.52490337	6.837559954	2.75276519	5.155241626
A2M	1.924151537	1.805121509	1.770104965	2.012775491	2.040461644	1.737680566	1.836169779	1.904048522	1.953074771
A4GALT	2.364884763	1.860138221	2.487608334	2.296060575	2.000025348	2.545473254	2.560390787	2.102787739	2.216813343
A4GALT	4.760963467	3.294197981	3.944001157	3.76297796	3.816853504	4.105781561	4.904379247	3.032550138	3.734920892
A4GALT	3.555328152	2.813268601	3.057341932	3.192780429	3.027417731	3.323380416	4.089345659	3.08988734	3.196853696
A4GNT	2.078081393	1.834678893	1.723488638	1.613509971	1.635987677	1.343742221	1.657125311	1.692726865	1.450001105
AAAS	2.528724671	2.418576212	2.40434078	2.551674266	2.228841552	1.687261713	2.642736101	2.291501762	2.650409318
AAAS	2.516645718	2.725445501	2.938780389	2.159575759	2.510613184	2.29247011	2.777572512	2.5199656	2.707888263
AACS	4.503783537	4.565088029	6.024824417	4.841295776	5.262445614	4.588864033	6.106044676	5.614192551	5.093836645
AADAC	1.267648589	1.344184126	1.197731644	1.364132737	1.262600479	1.44613464	1.359289028	1.308653601	1.294969114
AAK1	2.319382725	2.775455975	2.661075728	2.30968147	2.453536643	1.377194688	2.996997375	2.27484054	3.162578419
AAK1	1.253421146	1.292519006	1.249445401	1.313254566	1.432015779	1.49118384	1.697666859	1.554580707	1.581400665
AAK1	1.986883604	2.133295673	1.615412124	1.674101158	1.533946758	1.802328555	1.697798443	1.483329877	1.533309335
AAK1	1.734255857	1.711061975	1.678950487	1.842147544	1.817762582	1.573746866	1.526768088	1.644255575	1.755729597
AAK1	1.852311922	1.651357022	1.431164478	1.789314394	1.368956702	1.377603663	1.647537393	1.581343788	1.616219348
AAK1	1.621189745	1.806098867	1.423858974	1.695706824	1.380846013	2.049720697	1.440996101	1.519701648	1.636435456
AAK1	2.291691013	2.522627381	2.319917919	1.976226436	2.277101672	2.014066498	2.090641802	1.940170316	1.836002812
AAMP	4.298238284	4.213766471	4.444997157	4.446516194	4.104498715	3.790946017	4.406424702	4.215062748	3.897703341
AAMP	7.769066296	8.242822291	7.974982042	8.390932552	8.196297986	7.997048129	7.871242732	8.011294972	8.319224136
AAMP	5.946253988	5.819409368	5.975314741	5.89073226	5.655717517	5.737392856	6.005122466	5.677714847	5.31872597
AANAT	2.057625276	1.672982068	1.885111432	2.09400546	1.704919096	1.748781418	2.12438186	1.683499551	1.770466574
AARS	5.052978	4.850985586	6.165050658	5.058684992	6.384729609	5.485525745	5.475183003	5.086172467	7.49682993
AARSD1	6.409044292	6.040938102	6.666161302	5.997501071	6.2617809	7.152104766	6.164685323	5.540609283	5.008606671
AARSD1	1.857998896	1.889844075	1.824029413	1.57522231	1.813677102	1.38635366	1.766965128	2.031606529	1.756769955
AASDHPPT	5.936962363	6.73254753	6.172712294	7.27590788	6.001154891	5.44603822	6.420621159	7.084092081	5.793669753
AASDHPPT	5.904295709	6.794027244	6.406417148	7.465115605	5.880333664	5.566474143	6.510741425	7.323484642	5.94526655
AASDHPPT	5.675742951	6.292670919	6.471703478	6.943714656	5.395219635	5.242176289	5.859802922	6.173931592	5.459861794
AASS	2.531682327	2.601701577	1.731423824	2.134413129	1.557825907	1.719176441	2.346355489	3.117875362	1.576066137
AASS	4.522501882	4.920592075	4.648399923	2.997952024	4.01018599	3.076279603	4.717972886	5.372313061	2.329810672
AATF	2.500541935	2.68158746	2.398105925	2.601753767	2.615863362	2.63315799	2.338483953	2.067234929	2.385140508
AATK	6.887851043	4.021157336	3.561587487	5.470651729	3.336920654	4.841643643	5.337254099	5.049282869	2.484458918
ABAT	4.283617881	3.162109302	3.002415998	3.952732915	2.254613916	2.994968844	3.42322435	3.181574424	2.116577653
ABAT	10.34895039	7.635603905	8.544252515	9.843853361	6.330361582	8.331957928	8.735120597	10.09091133	3.453720605
ABCA1	2.042983391	2.027361932	2.399418748	2.246162647	2.549991153	1.611095205	1.935300139	1.867536583	2.559252221
ABCA1	4.224688386	5.534565726	5.601215646	3.270266193	4.140161812	4.839520077	5.018067201	3.441732929	4.699447366
ABCA1	3.861993231	3.86990332	3.843732815	3.643839644	3.830748944	3.537124231	3.874896527	3.430269231	3.712433075
ABCA1	1.312578975	1.256179465	1.352266238	1.417589575	1.587782629	1.505294616	1.526768088	1.542895489	1.76757102
ABCA11P	5.061787184	3.81612234	4.670015498	4.479107518	4.641245059	3.577316363	3.95090569	4.917227878	3.883725903
ABCA12	2.004295645	2.020851164	1.85803528	2.950490853	1.982015625	2.209124326	2.327545269	2.799706922	2.255851696
ABCA2	2.301060684	2.291895019	2.098655204	2.153179188	2.224814559	2.093527701	2.312750338	1.979305017	2.423757436
ABCA2	1.951252249	2.052488931	2.160206916	1.697259632	1.290500772	1.382723485	1.883494306	1.919921738	1.799021162
ABCA2	2.084458399	2.45830466	2.336426302	1.833509163	2.461645553	2.14528032	2.306016131	2.292294011	2.300790572
ABCA2	4.550049476	3.857491581	4.092250467	3.767141884	4.182551855	4.201556412	3.716576059	3.313051735	3.027089402
ABCA3	7.334308225	6.067233213	5.514204029	6.273008936	4.744501673	4.489659662	6.041611894	6.464840416	4.760044075
ABCA4	3.273462728	2.751459625	2.476616629	2.546919539	2.617250505	2.357325226	2.561680939	2.47280185	2.272148702
ABCA4	2.275749021	1.795031347	2.116383546	2.236679329	1.604921008	1.671002311	2.073609392	1.797195657	1.719496262
ABCA5	3.695202136	5.200992713	5.407729249	4.725074788	5.289847293	4.561294927	5.027413703	5.364789017	6.381573037
ABCA5	1.240276015	1.334702595	1.207233135	1.447353138	1.209428144	0.963226951	1.082746105	1.31363116	1.489531822
ABCA6	1.608245787	1.665282174	1.435448583	1.430432181	1.665282174	1.721719495	1.646693807	1.450173826	1.733912328
ABCA7	3.836797722	3.506927608	3.95007842	3.709077826	3.519059752	4.060066646	3.729154683	3.349006646	3.293321886
ABCA8	2.549013103	1.26178294	2.773681813	1.982383139	1.381042727	2.627204552	1.750478558	2.109649702	1.903651437
ABCA8	1.200638619	1.064405476	1.276667975	1.02507463	1.404151383	1.318158741	1.100128997	1.167905988	0.917432819
ABCA8	1.472035385	1.340459763	1.026204755	1.422733823	1.333958651	1.108360706	1.452670728	1.451218795	1.345039095
ABCB1	1.281249091	1.237212036	1.337291828	1.071440852	1.258382797	1.179541772	0.983436461	1.135582345	1.201539031
ABCB1	2.761425014	1.945520507	1.944135428	1.987611727	1.817762582	2.246635266	1.864834423	2.068896285	1.971689449
ABCB1	1.412430836	1.623703246	1.554091918	1.489057956	1.429497664	1.444204875	1.23518096	1.297998132	1.284200056
ABCB11	1.300717986	1.433094096	1.366507902	1.319318957	1.322404896	1.197601086	1.484924602	1.255752174	1.285203496
ABCB11	1.321168864	1.241545954	1.304151928	1.343608738	1.381042727	1.781285359	1.235421834	1.286965344	1.460803425
ABCB4	2.842764039	2.304253104	2.244611709	2.301287963	2.420152492	2.430269415	2.001992934	2.261363628	2.056016104
