gene	X1B	X2B	X3B	X8B	X9B	X10B	X11B	X13B	X14B	X16B	X17B
1-Dec	2.7165510853906	-0.688938976777652	0.434856983851448	0.242058159939543	-0.965532807466036	-0.0532742596388677	-0.0486806107214154	-0.291925463875263	-0.118414730954899	-0.379982192622902	-0.846717187124542
1-Mar	-1.76909281231493	0.442998965163811	0.78371420570494	-0.747638730274891	-0.468574562956335	-0.435270472805087	1.39420429756822	0.534985983874681	0.649270571570027	-1.28003557204031	0.895438126509876
10-Sep	-1.11946760560074	1.00369060677589	-0.269151687409487	0.0621666135500339	2.010891788295	-0.288745555091065	-0.457088912638698	-0.0342741450479861	0.918589155320753	-1.55121844702945	-0.275391811124236
11-Sep	0.532712226044617	-0.193418275731969	-0.788445436552777	2.11264319464484	-1.3692746573963	-0.168034122833271	0.365118795487648	0.260066500573778	0.916355013950254	-0.473689579655051	-1.19403365853175
15-Sep	-0.633221721589094	0.0980583492567813	-0.45120493644435	0.0968270006190649	-0.962870436287374	-1.49639637150563	-0.414934705321818	0.109122667898231	2.20164512842587	0.974725122017758	0.478249902930546
2-Mar	0.520023195022829	0.289437258915935	-2.1674553168618	0.0967959756997518	0.912750792589389	0.686044350470096	0.206239732499223	-0.339933526327566	0.708223654353796	0.675118111627357	-1.58724422798902
2-Sep	-1.79829878131316	0.420933946676631	-0.757746465073589	-0.284719197826858	0.797269875056904	-0.207730898204061	-1.43788912572857	1.08761678003929	0.876425090607214	0.21277752124295	1.09136125452325
3-Mar	-0.181490196218044	0.142995036266108	1.09414845316089	-0.559330889182997	0.911359065315712	-1.74725890311724	-1.7103372763064	0.481248697056636	0.136734830190789	0.296234100128107	1.13569708270643
4-Sep	1.21664947944668	0.56483187965594	-0.00893392846401277	-0.758404276391898	-0.575749141846379	-0.499005787002973	-2.31014072733837	0.841873191863339	0.37785269265458	0.887181268983147	0.26384534843994
5-Mar	-0.33903655931689	0.307894195208763	0.616132931822955	0.453001970901992	0.259978812122627	-0.0172783284726589	-2.88201520639301	0.386715693082727	0.213649599333479	0.760644834263201	0.240312057446813
5-Sep	1.10112428389381	0.783745738965293	-1.0307846735035	0.825423016456525	1.38105821575964	-1.16531800655379	0.383680326799079	-1.18666829955087	-1.15750669082572	0.397860888333089	-0.332614799773557
6-Mar	0.202380474707736	-0.948726328810561	1.11223394804936	1.50735443900162	0.750966827418548	-0.13528865306306	1.16882516274509	-0.795347923016644	-1.30509803471043	-0.941317673609789	-0.615982238711882
6-Sep	1.40606961445572	0.462764883065315	1.21427970954905	-1.1348374422287	-0.494636355785628	0.304153175300941	-1.80789332507065	0.51629591323811	0.636397552266878	-0.267207668548116	-0.835386056242917
7-Mar	-0.648583562982726	-0.306975367688928	-0.476262726919286	-0.721945168581342	-1.43379641442698	0.76401128093526	-1.28003530232766	1.37359129948904	1.06168113049034	0.997775314046014	0.670539517966258
7-Sep	-0.813572577202238	0.753995079333942	-0.42045989565431	0.291540661469585	-1.05575384010904	-0.546198259491232	-1.86134521385844	1.33560212111826	0.900718556440569	0.578615588591114	0.836857779361803
8-Mar	-0.500617166667396	-0.159357013779823	0.328780479286076	0.639622544658495	-0.402460448470917	-0.0583185727817207	2.61238551865298	0.0321767156337495	-1.13257070414654	-0.746064847038118	-0.613576505346791
9-Sep	-0.0107079670480853	0.0374689021671075	-0.273333193925622	1.55924148926909	-1.64958857544028	0.303102451255328	1.81173812539877	0.0837706170621292	-0.677686309025454	-0.931058042702864	-0.252947497010087
A1CF	-0.456620255213636	-0.323667368108796	0.0334929348523945	-0.481166464837953	0.0286007336792078	-0.56756103006055	2.95228423417753	-0.222032301296002	-0.468164686145944	-0.137815849410659	-0.35734994763559
A2M	-0.369033227340126	0.232088678614625	-0.723881211369949	1.57624819199117	-0.398552206145947	-1.16149017570977	2.09884199833863	-0.274174210720281	-0.00634348503169732	-0.898607022900038	-0.0750973297266063
A4GALT	-0.520784215632718	1.2433528670367	-0.913714227223258	1.18204815648323	-0.567645527949812	-0.166069050697068	1.77546120661559	-0.097979849572247	0.238066518469368	-1.19128869318281	-0.981447184346951
A4GNT	-0.974785549850487	-0.808068847290651	-0.0139346822396164	-0.169099754529402	1.67729265513716	0.0700053961597146	0.281955839252882	-0.106785857253921	1.91838862045706	-0.835140896966949	-1.0398269228758
AAAS	-1.16725905770214	1.02040629186457	-0.461703918468102	0.749704136045524	0.748711173763691	0.696184408840609	1.27580690571702	-0.525127020107961	-1.41274026685694	-1.31336100472515	0.389378351628868
AACS	0.107119997180522	0.689281182969711	1.29778433608015	-1.75477239728092	-0.785705501836327	0.741390846836114	-0.738171224108878	-0.355077489489856	0.646081486905695	1.19025885667238	-1.03819009392862
AADAC	0.0260955069444055	-0.810673291196301	2.42235581383803	-0.862859691908118	-0.497994373715117	0.0622344914012827	0.878518626281137	-0.958131862693285	0.583237044240006	-0.63680202982466	-0.205980233367377
AAK1	-0.860335365711704	-0.956604770053316	-0.416168787273314	0.0337899265486594	1.41694141210973	-0.00458226156540282	-0.684156084340733	-0.933587347232154	2.13489338460424	0.473154008444744	-0.203344115530749
AAMP	0.640011401288128	0.427886397271909	1.3983520428174	0.00583904957185035	-1.23688197325389	0.63728152866945	-1.45132567589432	0.910791831811647	-0.338243938875582	0.49608070920788	-1.48979137261446
AANAT	-0.94450777829477	-1.2454028447292	1.05569493232215	-0.0788926449728512	1.20018878477634	0.98118542754348	-0.63753141160299	-0.17711302130309	1.49404214999401	-0.876784988847614	-0.770878604885476
