Gene	Abba 2005 (ER)	Alexe 2007 (lymphocytic genes)	Ascierto 2012 (immune 349 genes)	Ayers 2004 (pCR elevated)	Beck 2009 (CSF1 macrophage)	Bertucci 2006 (ductal vs medullary)	Bianchini 2010 (22 genes)	Biocarta IL12	Biocarta IL13	Biocarta IL2	Biocarta IL4	Bos 2009 (brain met cell line)	Bos 2009 (brain met human)	Carter 2006 (CIN 25)	Carter 2006 (CIN 70)	Chang 2004 (CSR)	Chanrion 2008 (Tamoxifen 36 genes)	Cheang 2008 (TN prognostic predictor)	Choi 2010 (quintuple negative)	Coutant 2011 (ER- 30 genes)	Coutant 2011 (ER+ 39 genes)	Dai 2005 (cell proliferation)	Dairkee 2007 (oxidative stress)	Der 1998 (interferon induced)	Finak 2008 (SDPP)	Filipits 2011 (ER+/HER2- PCR 11 genes)	Galon 2006 (immune suppression)	Galon 2006 (immunogenes)	Galon 2006 (inflammation)	Galon 2006 (Th1 adaptive immunity)	Glinsky 2005 (poor prognosis)	Goldrath (immune memory)	Habermann 2009 (genomic instability)	RBHallett 2012 (basal 14 genes)	Hannemann 2006 (invasiveness)	Hess 2006 (pCR chemotherapy)	Hu 2009 (distant met VEGF)	Juul 2010 (Paclitaxel response)	Kang 2003 (bone met)	KEGG Antigen Processing and Presentation	Khoury 2010 (Trastuzumab resistance)	Khoury 2010 (HER2 untreated)	Korkola 2007 (21 genes)	Landemaine 2008 (lung met associated)	Landemaine 2008 (lung met predictor)	Li 2009 (chemotherapy 24 genes)	Lin 2010 (basal chemo 23 genes)	Liu 2007 (IGS)	Liu 2012 (HER2 TICS 17 genes)	Ma 2004 (two-gene ratio)	Martin 2008 (22 genes)	Miller 2005 (p53)	Minn 2005 (lung met 54 genes)	Minn 2005 (lung met 95 genes)	Naderi 2006 (70 genes)	Cheang 2008	Nimeus-malmstrom 2008 (local recurrence)	Saal 2007 (PTEN pathway)	Paik 2004 (OncotypeDX)	Planche 2011 (normal vs tumour stroma)	Rody 2009 (199 genes)	Rody 2009 (hemopoietic cell kinase)	Rody 2009 (immunoglobulin gamma)	Rody 2009 (interferon)	Rody 2009 (lymphocyte specific kinase)	Rody 2009 (MHC I)	Rody 2009 (MHC II)	Rody 2009 (STAT1)	Rody 2011 (TN good prognosis)	Rody 2011 (TN poor prognosis)	Sabatier 2011 (basalL MBC)	Sansregret 2011 (instability)	Schmidt 2011 (humoral immune)	Smeets 2010 (lymph node positive)	Smid 2006 (bone met)	Sotiriou 2006 (GGI)	Staff 2010 (HDPP)	Symmans 2010 (ER related)	Taube 2010 (EMT)	Teschendorff 2006 (t17)	Teschendorff 2006 (t52)	Teschendorff 2007 (immune response)	Thuerigen 2006 (neoadjuvant chemotherapy)	Tosolini 2001 (A1 Th1 cytotoxic)	Tosolini 2001 (A2 Th1)	Tosolini 2001 (B1 Th2)	Tosolini 2001 (B2 Th2)	Tosolini 2001 (B3 Th2)	Tosolini 2001 (C1 T regulatory)	Tosolini 2001 (C2 T regulatory Th2)	Tosolini 2001 (D1 Th17)	Ursini-Siegel 2010 (immune 43 genes)	Vanlaere 2008 (IBC signature)	Vantveer 2002 (MammaPrint)	Vanvliet 2008 (127 genes)	Wang 2005 (76 genes)	Watkins 2009 (CD14 monocyte)	Watkins 2009 (CD19 B cell)	Watkins 2009 (CD4 T helper)	Watkins 2009 (CD56 NK)	Watkins 2009 (CD66b granulocyte)	Watkins 2009 (CD8 cytotoxic T)	Watkins 2009 (erythroblast)	Watkins 2009 (megakaryocyte)	West 2011 (lymphocyte 8 genes)	Yau 2010 (TN poor outcome)	Unstratified predictor	ER+ predictor	ER- predictor	HER2+ predictor	HER2- predictor	ER-/HER2+ predictor	ER+/HER2+ predictor	ER-/HER2- predictor	ER+/HER2- predictor	lumA predictor	lumB predictor	normL predictor	ER+/normL predictor	her2E predictor	basalL predictor	ER-/her2E predictor	ER+/her2E predictor	ER-/basalL predictor	ER+/basalL predictor
C7orf58																x																																																																																																													
C7orf59																																																																																																					x																								
C7orf6																																																										x																																																																			
C7orf63																																																												x																x																																																	
C8orf13																																																																																																		x																											
C8orf72																							x																																																																																																						
C9orf100																																																																																			x																																										
C9orf116																																																																											x																																																		
C9orf150																																																																										x																																																			
C9ORF152																																									x																																																																																				
C9orf19																							x																																																																																																						
C9orf25																																																																																			x																																										
C9orf3																																																																							x																																																						
C9orf30																																																																																														x																															
C9orf45																																																																																																		x																											
C9orf46						x																																																																	x																																																						
C9orf5																																																												x																																																																	
C9orf64																																																x																																																																													
C9orf72						x																																																																	x																																																						
C9orf82																																			x																																																																																										
C9orf89						x																																																																	x																																																						
C9orf91																																																												x																																																																	
CA1																																																																																																							x																						
CA12																							x													x																																										x															x																																
CA2																																																																															x																								x																						
CA4																																																																																																					x																								
CA8																																																																																																							x																						
CA9																																																																						x									x																																														
CABIN1																																																																																																					x																								
CACHD1																																																																							x																																x																						
CACNA1H																																																																																			x																																										
CACNA2D2	x																																																																													x																																															
CACNA2D3																																																																																																	x																												
CACNA2D4																																																																																																	x																												
CACNG1																																																																																																																		x							x				
CACNG4																																																				x																															x																																										
CACNG6																																																																																																					x																								
CACYBP																																																																																																																					x							x	
CADM1																																																					x	x						x											x																																																						
CADM3																																																																																																							x																						
CALB2																																												x																																																											x																						
CALCOCO1																x																																																																																					x																								
CALD1						x																	x																																																x																																	x																					
CALM2																										x																																																																																																			
CALM3																																																												x																																																																	
CALML4																																																																																																	x																												
CALML5																																																																						x																																																							
CALR																																								x																																																																																					
CAMK1		x																																																																																																																											
CAMK1D																																																																																																					x																								
CAMK1G																																										x																																																								x																											
CAMK2B																																																																															x																																														
CAMK2D																																																																								x																																																					
CAMK2G																																																																																																					x																								
CaMKIINalpha	x																																																																																																																												
CAMLG																x																																																																																																													
CAMP																																																																																																					x																								
CAMSAP1																																																																																																																						x							
CAMSAP1L1		x																																																																																																																											
CAND1																																																												x																																																								x	x								
CANT1																																																																																																					x																								
CANX																																								x																																																																																					
CAP2																																																																																													x																																
CAPN1																							x																																																																																																						
CAPN11																																																																																																								x																					
CAPN2		x				x																																																																	x																									x																													
CAPN3																																																																																																																	x												
CAPN5						x																																																																	x																																																						
CAPRIN2																																																																																																							x																						
CAPZB																							x																																					x																																																																	
CARD10																																																												x																																																																	
CARD11																																																												x																																																																	
CARD16			x																																																																																																																										
CARD8		x																																																																																																																											
CARM1																																																																																			x																																										
CART																																																							x																																																																						
CASC3																																										x																																																											x																								
CASK												x																																										x																																																																							
CASP1		x	x		x							x																																									x	x																																																								x										x					
CASP10						x																																																																	x																																																						
CASP4		x										x																																																																																																																	
CASP5																																																																																																					x																								
CASP6																																																																													x																																																
CASP8																																																x																																																					x																								
CASS4																																																																							x																														x																								
CAT																																																																																																					x																								
CAV1						x						x																																																x											x																																																						
CAV2																																							x																																																																	x																					
CBFB																																																																						x																																																							
CBR3																							x																																																																																																						
CBR4		x																																																																																																																											
CBS						x																																			x																														x																																x																						
CBWD1																																																																																																																												x	
CBX1																x																																										x																																																																			
CBX3																																																																						x																										x																													
CBX5																																																																										x																																																			
CBX7		x																																																																																																																											
CC2D1B																							x																																																																																																						
CCBE1																							x																																																																																																						
CCDC108			x																																																																																																																										
CCDC126																																																																																																					x																								
CCDC132																																																																										x																																																			
CCDC146																																																																																																					x																								
CCDC15																																																																							x																																																						
CCDC25																							x																																																																																																						
CCDC34																																																																																																							x																						
CCDC43																																																x																																																																													
CCDC68																																							x																																																																																						
CCDC69																																																																							x																																							x			x												
CCDC74B																																																																																													x																																
CCDC88C																																																																							x			x																																																			
CCDC9		x																																																																																																																											
CCDC92																																																																															x																																														
CCDC93																																																									x																																																																				
CCL13		x																																																																																																																											
CCL14																																																												x																																			x																							x							
CCL17																																																																																										x																																			
CCL18		x																																																																																																																											
CCL19		x																																	x																																																					x																																					
CCL2		x			x																		x																																																																																																						
CCL20												x																																																																																																																	
CCL21			x																																																																																																																										
CCL22																																																																																										x																																			
CCL23		x	x																																																																																																		x																								
CCL3																																																																																																				x																									
CCL3L1																																																																																																				x																									
CCL3L3																																																																																																				x																									
CCL4																																																																																																				x																									
CCL4L1																																																																																																				x																									
CCL4L2																																																																																																				x																									
CCL5		x			x																																																								x				x																			x									x																											x					
CCL8		x																																																																																																																											
CCM2																																																																																			x																																										
CCNA2																				x																													x																							x				x																			x													x			x														
CCNB1															x																x																		x									x	x																	x																			x																x														
CCNB2														x	x		x					x																																				x																		x																			x																x														
CCND1	x																																																																																												x											x																					
CCND2		x																																																																													x																																														
CCND3		x																																																																																	x																																										
CCNDBP1																																																																																																					x																								
CCNE1																																																																																																							x																						
CCNE2																						x																																																						x					x													x		x																													
CCNG2	x															x																																																																																					x																								
CCNJL																																																																																																					x																								
CCNL1																																																												x																							x																																										
CCNL2				x												x																																																																																																													
CCNY																																																x																																																																													
CCPG1																x																																																																																																													
CCR1		x																																																											x	x																																							x																								
CCR2		x	x																																														x												x				x																																x																									x			
CCR3																																																																																																					x																								
CCR4																																																																																								x																																					
CCR5		x						x																																																																													x																																								
CCR6		x																																																																																																x																											
CCR7		x	x																																																										x				x																							x																																					
CCRL2					x																																																																																																																								
CCS																							x																																																																																																						
CCT5														x	x	x																																																												x																			x																					x	x								
CCT6A																				x																																																																																																									
CD109																																																																																																								x																					
CD14		x																																																																																															x																												
CD160		x																														x																																																																				x																									
CD163		x			x																																																								x	x																															x				x																												
CD180		x																																															x																																																																												
CD19		x	x																																																																																															x							x																				
CD1B																																																																																																	x																												
CD1C																																																																																			x															x																											
CD1D		x																																																																																															x																												
CD1E		x																																																																																																																											
CD2		x	x																																																										x				x																												x																x			x													
CD200																																																																																																		x																											
CD209		x																																																										x																																																																	
CD22		x																																																																																																x																											
CD24																																																																											x																																																		
CD244		x																																																																																																																											
CD247			x																						x			x		x																																																														x								x									x			x													
CD248																																																																																																						x																x							
CD27																																																																																												x																													x				
CD276																											x	x																																																																																																	
CD28		x	x																																																																																		x							x																																	
CD300C																																																																																																	x																												
CD300LG																																																												x																																																																	
CD302																																																																																															x																							x							
CD33		x			x																		x																																																																										x																												
CD34																																																												x																																																																	
CD36																																																												x																																																																	
CD37		x																																																																																																x																											
CD38		x				x																																																																	x		x												x																																			x					
CD3D		x						x																																			x																		x				x												x																												x																				
CD3E		x						x																																																																																x				x																																	
CD3G		x						x																																																																																																																					
CD3Z		x						x																																																					x				x																																																												
CD4																											x	x												x																																																				x																																	
CD40		x																																																																																																x																						x			x		
CD40LG																																																																																								x											x																										
CD44																																																																																																x																													
CD46																x																																																																																					x																								
CD47		x																																																																																																																											
CD48		x	x		x																				x																																				x				x																												x												x				x																
CD52		x			x																				x																																																																																																				
CD53		x	x		x																																																								x				x																												x																																
CD55																																x																																													x																								x																								
CD59																																																x									x																																																																				
CD6		x																																																																																																											x																
CD68																																																											x																																						x																												
CD69		x																																																																											x															x																																	
CD7		x																																																																																																																											
CD70																																																																																																							x																						
CD72		x																																															x																																											x						x																											
CD74		x	x																																					x									x												x						x																																													x													
CD79A		x	x																																							x																																																								x																											
CD79B		x																																																																																																x																											
CD80		x																																																																																																																											
CD81						x																																																																	x																																																						
CD82																x																																																																																																													
CD83		x																																																																																																x																											
CD84		x			x																																																																																																																								
CD86		x			x																																																								x	x																																			x	x																											
CD8A		x	x		x																				x			x		x										x																																												x																		x																							
CD8B																																								x																																																				x										x								x				x						x					
CD8B1		x																																																																																																																											
CD93																																																												x																																					x																												
CD96		x																																																																																																																											
CD97		x	x		x																																																																																																x																								
CD99												x																																																																																																																	
CDA																																																																																																					x																								
CDADC1																																																									x																																																																				
CDC123																																																x																																																																													
CDC14B																x																																																																																																													
CDC16																																																																																			x																																										
CDC2							x							x	x		x			x	x																	x																																						x					x														x																														
CDC20															x					x	x																																																							x																			x													x																	
CDC25A																																																																								x				x																																																	
CDC25B																							x																																																																																																						
CDC25C																							x																																																																																																						
CDC2L5																																																																						x																																																							
CDC34																							x																																																																																																						
CDC42BPA																																																																																														x									x																						
CDC42EP1																																																																																			x																																										
CDC42EP2																																																																																																					x																								
CDC42EP3																																																												x																																																																	
CDC42EP4																																																																					x																																		x																						
CDC45L														x	x							x																																																		x																							x													x																	
CDC6															x																																																																																																														
CDC7							x													x																																						x														x																																																					
CDCA2																																																										x																																																																			
CDCA3						x									x																																																								x					x																			x																														
CDCA4																x																																																																																																													
CDCA5																																																							x																																																																						
CDCA7																																																																																														x																															
CDCA7L																																																																																																		x																											
CDCA8															x																																					x			x																					x				x	x																											x							x										
CDCP1						x																																																																	x																																																						
CDH1																																			x																																												x																																														
CDH11																																																												x																			x																																														
CDH12																																																										x																																																																			
CDH13																							x																																																																																																						
CDH2																																																																															x																						x																								
CDH3																																												x																																		x	x																																														
CDIPT		x																																																																																																			x																								
CDK2																x																																																												x																																																	
CDK2AP1																																																																																			x																																										
CDK4																																																																																																														x															
CDKN1A																x																																																										x																																																			
CDKN1C																x																																												x																																																																	
CDKN2A																																	x																											x																																																																x	
CDKN2B																																																												x																																																																	
CDKN2C																							x																																																								x																																														
CDKN2D		x																																																																																																																											
CDKN3																																																			x																									x					x														x																						x								
cDNA DKFZp762M127																																	x																																																																																												
CDON																																																												x																	x																																																
CDR2																							x																																																																																																						
CDS1		x																																																																													x														x																																
CDS2																																																																																																					x																								
CDSN																							x																																																																																																						
CDT1												x																																																																																											x																						
CDV1																																																							x																																																																						
CDYL																																																																						x																																																							
CEACAM1																												x																																																																									x																								
CEACAM3																																																																																																					x																								
CEACAM6																																									x	x																																x	x																										x																								
CEACAM7																							x																																																																																																						
CEBPA																																																																																																	x																												
CEBPB																																																																										x																											x																								
CEBPD						x						x																																				x							x																x																																																						
CEBPE																																																																																																					x																								
CECR1		x			x																																																																																												x																												
CELA2A																																																																																																							x																						
CELSR1																																																																														x															x																																
CELSR2	x																																																																														x														x																																
CELSR3																																																																										x																																																			
CENPA						x																x																																																	x	x				x																		x	x																x														
CENPE																																																										x														x				x																																																	
CENPF																				x																																																								x																															x				x				x										
CENPI																																																																												x																																																	
CENPJ																x																																																																			x																																										
CENPN																x																																																												x					x																																												
CENPO																x																																																																																																													
CENPV																																																																										x																																																			
CENTA2																							x																																																																										x																												
CENTB1		x																																																																																																																											
CENTB2																							x																																																																																																						
CENTD1												x																																																																																																																	
CEP152																																																																																																							x																						
CEP170L																																																									x																																																																				
CEP290																																																																										x																																																			
CEP350																																																x																																																																													
CEP55															x						x																														x				x																x					x																			x									x																					
CEP57																																																																																																x																													
CEP63																																																																																																					x																								
CEP78																x																																																																																																													
CERCAM			x																																																									x																																																																	
CES1																															x																																																																		x																												
CES2																							x																																																																																																						
CFB																x																																																																																																													
CFD																																										x																																																																																			
CFDP1																																																																																	x																																												
CFHL2		x																																																																																																																											
CFL2																																																																													x																																																
CFLAR																																																																																													x								x																								
CG018																																															x	x																																																																													
CGB		x																																																																																																																											
CGI-111	x																																																																																																																												
CHAD	x																																																			x																																																																									
CHAF1B																																																	x									x																																																																			
CHCHD1						x																																																																	x																																																						
CHCHD7																																x																																																																																													
CHCHD8		x																					x																																																																																																						
CHD8																																																																																			x																																										
CHEK1							x									x				x																																																																																																									
CHEK2																																																																																			x																																										
ChGn																																							x																																																																																						
CHIC2																																																																																																					x																								
CHIT1		x																																																																																																																											
CHMP2A																																																																																																					x																								
CHMP4B																							x																																																																																																						
CHN1																																																																															x																				x																										
