gene	X102	X121	X148	X153	X169	X44	X45	X79	X96
1-Dec	0.394621608183021	-1.45702116606625	-0.247142339225313	1.23296858452185	-0.541023256405889	1.53164949123424	-0.336527272160302	-1.07023495205663	0.492709301975281
1-Mar	0.552133852604313	0.0193159621106545	-0.767629978417765	0.0470503287785524	1.16811821751348	-0.667052877702669	-1.57472647349095	-0.405087061221947	1.62787802982633
10-Sep	-1.48124641441131	0.18458958858629	0.686719126026844	1.50692742233873	-1.66445615945737	0.31168933495304	0.400405002985445	0.0271475496325951	0.028224549345734
11-Sep	-0.122374604969348	-0.237058884968029	1.3964562686986	0.619286119869553	-0.771405664693007	0.982184037828359	-1.13911647194595	0.747975226512067	-1.47594602633225
15-Sep	-2.37845107115232	0.166479423635376	0.683650952001097	0.403819050289355	0.470052751145849	0.852136572904054	0.529969509367701	-0.673756128955582	-0.0539010592355279
2-Mar	-0.436766824835371	-0.464509557234449	1.38504961251642	1.45232716194075	0.437991742395825	-1.0158170928658	-0.800701098206289	0.600292451442363	-1.15786639515345
2-Sep	-1.72157308113285	0.957220919643591	-0.520520850389815	0.0461696844431211	1.32260416156198	-0.769334296266141	-0.0587927412400033	1.15482975123497	-0.410603547854855
3-Mar	1.35010879515869	-0.323104402043073	-0.917534971982525	-0.585312971211153	-0.19115586397071	1.26930605027003	-1.6428052280448	0.503787265822143	0.536711326001397
4-Sep	-1.50702760568762	1.50987383116327	-0.712117345635495	0.232009990169903	0.513375661311523	0.643888196415845	0.922212803041617	-0.996093307713651	-0.606122223065382
5-Mar	0.9452022905299	-0.673333515841004	1.15103836449425	1.16312247645946	-1.33662853535073	0.847936398168546	-0.677242267322024	-0.748173218941225	-0.671921992197171
5-Sep	0.779494561552322	0.138065138413974	1.21934839150868	-0.704715135710082	1.05800038805439	-1.82728946276772	0.465241606858978	-0.365660486109299	-0.762485001801235
6-Mar	-2.3061664231258	0.559879836578269	-0.423832453592556	0.846283711957946	0.879760641916587	0.189638523458092	0.622809792015284	0.13723017979261	-0.505603809000429
6-Sep	-2.22806374073226	0.781517614627583	-0.85344329641741	0.721334134077896	1.03330767438553	0.22933681257087	0.0336901670571345	0.0546554882690756	0.227665146161591
7-Mar	-0.0193343928536691	0.594195122850801	0.382701176434641	0.948709361218847	-2.46822278783235	-0.000759513843165412	-0.329777184404621	0.467501885636944	0.424986332792564
7-Sep	-0.494597547298314	0.535534271027898	0.931406226128112	0.915207631205671	-2.19321050965293	0.760913761030851	-0.146601383390834	0.236292848441698	-0.544945297492149
8-Mar	-0.584758663327377	0.22826507671572	0.245810908637159	1.22163177358271	-1.54263732450582	-0.29960215574365	-0.981423906157925	1.61588522130161	0.0968290694975774
9-Sep	-1.97733966313504	-0.165214030049082	0.578180443812213	0.784735408602545	0.488093382349434	-1.25011892345922	0.411955866405369	0.0629223630535516	1.06678515242023
A1CF	1.46802456462923	-0.529047482274134	1.09053175512549	-0.913155447471396	-1.00109180435338	-0.912198556365594	0.907542169506422	0.607215214531609	-0.717820413328246
A2M	-1.225663936049	0.840123822352697	0.098884436991945	-0.261166182737256	-1.19477466048611	-0.0367454714238135	1.66352805507018	-0.811312575233056	0.927126511514414
A4GALT	0.101935855490169	-0.332591218956268	1.81762548127248	-0.784454072481828	0.971949779619242	-1.02199362247592	0.770743950389025	-1.09067059383786	-0.432545559019043
A4GNT	0.320625649099192	0.522014856961485	0.533442981199906	-0.955064525233087	0.548049201699552	1.41212935972215	-0.309744797224565	-0.0630695051380217	-2.00838322108661
AAAS	1.28329241442209	-1.11782791867067	-0.695840150214725	-0.47740555831533	0.27012656559011	1.649773265935	-0.557340623004881	-0.959446945836247	0.604668950094644
AACS	0.710318212568732	-0.875593284553366	1.14470876555013	-0.574816864163788	-2.02556166536789	0.338130502417446	0.823357145383563	0.438668911013415	0.0207882771517498
AADAC	0.304693817398853	-1.47218605130224	0.285074326726471	0.598528526522003	-1.04691873083018	-0.874444013656853	1.82499295160849	0.325660365999083	0.054598807534367
AAK1	-0.6136636996329	-0.580840673353631	-0.160670210608908	0.340875457769223	2.51026540079675	-0.0321985841886686	-0.759533961436375	-0.443485456197128	-0.260748273148363
AAMP	1.47672543938502	-0.531123766504186	-1.91827861704526	0.24649815645201	0.552030905600547	1.07377328944228	-0.457437669657028	-0.347375123238854	-0.0948126144345256
AANAT	0.43670160714685	-0.00265179180758277	-1.4218936160711	1.76213137360564	-0.670408034378857	1.18777638350869	-0.807516400520464	-0.404640200897976	-0.0794993205852
AARS	-1.27840743590677	-0.732955971486976	0.56248808684162	-0.169694327757715	0.776263328691958	-0.333134743789586	0.510969366192222	-1.13197834927965	1.7964500464949
AARSD1	-0.473579490508265	-0.0798142918639142	1.06989623679977	-0.618413331065599	0.696804140448283	-0.496825759276001	1.81942906544573	-0.533807923251481	-1.38368864672852
AASDHPPT	-1.71877172474251	1.22478317619901	0.700971417632659	1.19808151940578	-0.00142626658231319	-0.659236969643504	-0.922967375649218	0.487128894051683	-0.308562670671582
AASS	-0.550726907184352	1.03815213900077	-0.155484470499522	-0.100717793776641	0.411928580721393	-0.930922932990741	1.8555426031688	-0.121946713323892	-1.44582450511581
AATF	-1.55184376196935	-0.188832424767945	0.598098513796228	-0.79051652216237	0.880937894041688	-0.946318381697455	-0.0446660254448068	0.384111348953507	1.6590293592505
AATK	1.65422560792235	0.443718272929221	-1.07763323491648	0.386072381065956	-0.320795175186377	-1.553887790135	0.547998447402118	0.644018944259354	-0.723717453341147
