Gene Symbol	1A	2A	3A	8A	9A	10A-avg	11A	13A	14A-avg	16A-avg	17A
ABL2	12.5649297	12.88704828	12.92325836	11.80846845	12.53322828	11.99043434	12.8187898	11.05226543	12.72819905	12.36446184	12.7228867
ABL2	11.10355688	11.51749336	11.14378193	9.779148597	11.25565109	10.98621026	10.94090694	9.52608176	10.64074815	10.34308446	9.874851226
ABLIM1	7.738577779	8.212425272	8.76200216	8.538606539	7.313148387	7.568653353	7.997477966	7.443405661	7.835173329	8.414893454	7.596178493
ABLIM1	11.02488328	10.94505515	13.07911213	11.17719363	9.537147011	9.904155192	9.546924263	8.080227956	10.38175331	11.08889654	10.64909454
ABLIM1	13.31704833	13.04684849	13.63351845	13.87927096	13.13115576	12.69969424	13.29532625	13.26350473	12.87992234	13.44585714	14.00348938
ABLIM1	12.14034704	11.93197133	12.88704828	12.26100283	11.83376468	11.61831372	12.21250568	11.50234008	12.48399211	12.42720293	12.44278508
ABLIM3	9.812241002	11.01379616	8.538262481	12.42450161	11.37307097	10.91535442	11.24376321	10.69405098	12.21342177	11.77683994	12.15882605
ABO	13.64702221	10.71149732	11.11863183	13.70700053	10.66113933	13.29715534	8.55420803	10.50920076	12.91189349	13.08554841	13.15445801
ABP1	8.355289496	7.815290424	9.503580747	8.328917437	8.873320022	8.977620994	9.36850613	7.922255988	9.201202592	8.140809584	8.662666209
ABR	10.62948903	11.26795817	11.14066527	10.09842638	9.831504307	10.74820785	10.86492518	9.417591756	11.27498731	10.20312415	11.91096614
ABR	8.673172844	10.50433643	9.323423438	8.135390857	9.694547616	9.028303052	7.825830206	9.347002348	8.861041231	8.51269408	8.111710663
ABR	12.58902186	11.56949703	12.6617188	13.81915374	11.54059976	11.99684972	7.192095414	11.70191612	12.47207639	12.84857741	13.77016798
ABT1	7.595190184	7.46545824	7.282483545	7.1454024	7.249330075	7.320077044	7.939655098	7.394057171	7.735258703	7.501580787	7.386803574
ABTB2	7.856010723	9.928804867	8.827667234	7.130444083	7.124907975	8.013992121	7.150205632	7.086630928	7.157221992	7.45276639	7.329548703
ACAA1	11.04209778	11.94570716	11.35874715	10.86018429	11.82388844	10.92135627	11.38852164	10.321168	11.00072416	11.36860873	11.80800914
ACAA2	12.57735594	11.99894328	12.29389558	10.65906927	11.89335187	12.2385884	12.05527973	12.85324401	12.1366726	11.58466581	11.29246995
ACACA	10.2616523	10.37307794	10.20458335	8.443659369	7.708893808	8.713282196	11.02591901	9.474629289	10.02615927	9.165996257	8.733551512
ACACA	10.53612291	9.852495762	10.70938027	7.497441153	10.8199865	11.56097599	8.032175245	10.68073688	8.475157267	10.20022697	8.6188291
ACACA	13.03597736	13.46655587	13.56662586	12.6894651	13.58599442	13.92432914	11.30055239	13.35946961	12.35741322	13.06663912	12.33453513
ACACB	12.13035838	13.97509723	12.84933842	11.07401811	13.81766773	13.65913808	14.22062556	13.78022208	13.24789652	11.70932018	11.77953296
ACAD10	11.31085161	10.79964506	11.70677078	11.10240606	10.97493515	10.97892504	6.958495829	11.0856303	10.92012396	11.21748952	11.28538986
ACAD8	10.87383689	9.215027011	9.689816275	12.48360733	9.136477162	10.28872533	10.67698905	9.804761092	10.72687083	11.51822224	12.28648919
ACADL	7.082250846	7.239782866	7.126977275	7.18200948	7.291783819	7.610816809	7.29488562	7.197488901	7.228989098	7.330705347	7.38152815
ACADM	11.34515883	11.63665572	12.21421647	13.15842891	12.50311408	11.91953666	11.16239074	11.95787092	12.81985187	12.08561164	11.49085231
ACADS	9.075780322	9.783339019	8.72648833	9.670555578	8.922640672	9.17499967	9.194813412	7.67210103	8.301804259	9.509464131	10.77937001
ACADSB	7.863742213	9.128621271	8.56077894	7.862136752	9.17624364	8.411463539	10.2216109	8.426475607	8.797220774	9.176237251	7.653321292
ACADVL	14.10490768	13.78542458	14.01566777	14.36344462	13.98952396	14.1798255	14.07108946	13.95945737	14.54962318	14.30056857	14.79467533
ACADVL	8.671598596	11.77864134	11.30775597	7.497441153	11.22523869	10.10283238	7.228264151	9.798507663	10.35044068	10.30797946	7.721171048
ACADVL	9.874851226	9.912380888	10.58533253	9.233609122	9.896783765	9.757065494	11.69266549	9.689470355	10.5283595	10.94283486	11.62532932
ACAN	9.220317795	7.099975231	7.10163312	7.139777306	7.046662319	7.522801778	7.029304026	7.052335367	7.049748306	7.05429809	7.354754502
ACAN	7.227779037	7.391579116	7.238560915	7.198633861	7.393373342	7.174637483	7.519329867	7.325081742	7.318872792	7.187178968	7.626980542
ACAP1	10.96529622	9.186850858	9.052432462	9.49017255	9.672932731	9.396603397	7.628802751	9.352261162	7.587641353	9.362423585	10.37088307
ACAP2	8.36459664	8.144249922	8.672086005	8.205074817	8.286382802	8.706439938	7.134910662	8.418551602	8.725344653	8.947278785	7.372167146
ACAT1	9.417985841	8.818095237	9.983554996	12.17107331	8.40176302	8.95246129	7.737841327	7.705989561	7.515404279	11.45333259	9.879197592
ACAT2	7.989222163	7.732599904	7.959695575	7.234102459	7.320203516	7.888431516	7.292528904	7.845976973	7.480553864	7.53702852	7.529016179
ACBD3	13.16674573	12.85571809	12.8845005	13.99487555	13.28147141	13.43075344	13.76937963	13.90135199	14.21322533	13.850641	14.00017541
ACBD4	7.742362246	8.077955044	7.556366996	9.070894476	7.999346438	7.817339709	10.02350283	7.463666041	7.923647851	8.479027469	10.41472184
ACCN1	11.83032336	12.62218741	7.340959336	8.845230581	7.394900134	7.828097212	13.83517545	8.366262465	12.52384491	7.265051224	14.37943619
ACCN2	7.521031767	8.505870135	7.240656641	8.084213914	7.397718332	7.268063209	7.320053436	7.262479328	7.515955874	7.194913924	7.283549772
ACCN2	11.8111072	12.71534085	11.6400077	10.51638721	10.11658109	11.27853862	11.93580317	10.60475273	9.870597444	10.18033149	9.006237197
ACCN3	9.033514727	11.15236273	9.487183704	10.75155497	8.971372972	9.209092141	11.71100724	9.726649911	10.04725385	9.720416239	10.68454451
ACCN3	8.295195643	12.08818499	7.697675482	8.014828279	7.617728488	8.674725221	12.03361015	8.062275146	8.613045453	9.547102165	10.35125596
ACCN4	7.592399349	7.601486375	7.472710757	9.52872213	7.556274492	7.757046747	8.95125097	7.885300499	7.992672081	7.652525912	8.526414873
ACCN4	7.365957502	7.534102583	7.367346045	7.610638213	7.528107518	7.468299479	8.795522898	7.548668308	7.390388931	7.270943387	7.505779143
ACCN4	7.584454802	7.431464294	7.312743133	7.171203486	7.451015538	7.506550806	7.950605982	7.725635658	7.63043979	7.486393086	7.529016179
ACD	11.79638046	10.79119734	10.71392763	11.62693075	10.33241161	11.70917857	11.49510258	11.65960518	11.11782278	10.9083984	12.22578203
ACE	7.415313165	7.607038359	7.531503136	8.74383542	7.759989038	7.74866501	9.813307914	7.737761207	8.044935242	7.787167313	8.081581074
ACE	7.955969723	12.72697915	8.481664343	10.04847808	9.085118253	9.533230729	12.02515972	9.623494544	8.652727073	9.786191323	11.35089018
ACE	7.441760407	9.427534837	7.714546453	7.610638213	7.479107335	8.335255104	7.524993636	7.923238105	7.496693214	8.597252046	8.371643267
ACE2	7.335634673	7.384986055	7.376052746	7.470668216	7.394900134	7.565478548	7.718832044	7.589460708	7.569733991	7.474736025	7.906731365
ACHE	7.170089787	10.94232883	7.529464711	9.416926971	7.170527186	7.795728449	7.638935045	8.650135629	7.415040195	7.245099685	7.319868021
ACHE	8.340077413	12.03191665	8.992269902	7.16103816	7.027866624	8.477240782	7.126807273	8.691291064	9.090101246	7.475393165	7.329548703
ACIN1	11.58965893	9.553030711	11.30413182	12.064445	9.657341675	10.65386308	8.690546606	10.27725871	9.177333155	11.88648044	11.32798791
ACLY	15.22035296	15.17348944	15.35722191	14.66763883	14.9894909	15.32635308	15.41292284	15.32244067	15.33175211	15.22544394	14.98435532
ACN9	8.550926969	8.352465398	10.53931852	9.216589264	9.088369301	8.009559369	7.160886773	9.047726463	9.380262295	9.66879729	7.566582515
ACO1	12.68289168	13.20127968	13.29991219	13.55896517	13.66383038	13.39380021	13.43749117	13.92588253	13.55925019	13.46518251	12.48194024
ACO2	9.422891768	11.74920887	10.30669773	7.361418907	11.30819066	10.41769554	12.27884483	11.17441911	9.993075483	9.297362833	7.128160507
ACOT11	12.16864311	12.39678975	13.80230624	12.75263879	12.90748986	13.10618411	12.3226749	13.27197146	13.31537256	12.194519	13.4041064
ACOT11	9.441622894	10.08089251	9.858028154	9.233609122	10.51903305	9.301912735	7.834979956	10.73422318	9.654504934	8.61745487	9.244037946
ACOT13	11.42880459	11.99688876	11.57688107	11.16282903	10.69447931	11.24324159	7.693637283	10.01901474	10.71967176	11.86100223	10.87008868
ACOT2	6.975873088	7.063528078	7.112052415	7.508576643	7.025950411	7.087116286	7.054698682	7.027648811	7.008291904	7.136675053	7.108154997
ACOT7	7.508270164	8.166122147	7.647930339	7.371762377	7.427609365	8.271475422	8.040879998	7.577247538	7.461727359	7.243935711	7.150179607
ACOT7	10.30935541	11.48832537	11.67317553	9.670555578	11.14700668	11.56511255	10.26843304	11.28068529	10.76713224	9.527291011	9.022771184
ACOT7	7.223632493	7.237892905	7.207513609	7.079845398	7.346969472	7.210638992	7.909087225	7.392183994	7.18750805	7.172795235	7.04146698
ACOT7	7.262755167	7.315324254	7.16742405	8.037998828	7.466127547	7.229321021	7.632046568	7.401998979	7.344271246	7.271289023	7.59108151
ACOT7	7.561085831	9.737692306	7.814213103	7.361418907	7.127925225	8.153366386	7.25392245	7.182073663	7.870858912	7.434722941	7.579214731
ACOT7	9.496283716	11.22241714	10.3767556	7.058270378	9.114425676	10.32342627	10.62502178	7.381953415	9.513311669	7.890731978	9.852293578
ACOT8	9.111022196	9.803322639	9.860592974	7.035247132	9.954298474	10.09849206	7.241909646	9.534749883	9.025445246	8.506192373	7.396355111
ACOT9	9.296597882	8.596500659	10.5797564	10.42396939	9.719981858	10.40543734	8.323153222	10.39888859	9.875792626	10.16748054	9.506402507
ACOT9	7.960903326	8.718606811	8.774487266	8.014828279	9.019049342	9.173089918	9.715401364	9.004802565	9.315753887	8.58358297	8.940308061
ACOX1	8.645380177	8.182879902	8.344424309	8.803797472	7.691178588	7.938575367	8.681411965	7.58704284	7.911971284	8.188455666	8.270182401
ACOX1	7.282045778	7.177073863	7.859981758	7.28647487	7.218605333	7.175654232	7.160886773	7.103457366	7.169329138	7.607844674	7.246055618
ACOX1	7.350481885	7.044910647	6.908556206	7.1454024	8.414300091	7.191079892	6.987086074	7.079605396	7.026497114	7.111207932	7.026592107
ACOX2	10.72933889	12.48936345	10.07641901	12.61081628	13.32206971	11.11488074	13.23032993	13.07308518	12.56016559	13.40629304	12.09620521
ACOX3	7.610345814	7.725422993	7.664909585	11.34266504	7.703258376	7.61487013	9.622564435	8.078873702	9.036065399	8.331845508	10.15349169
ACP1	10.11263654	11.190008	11.86538457	11.54360804	11.0442979	11.14388037	10.96155793	10.44964227	11.38560493	11.38717465	11.76397905
ACP1	12.94480139	13.45076285	13.7247021	13.02447834	12.87054517	13.05168889	13.79849868	12.91555924	13.0371887	13.29456547	13.21336809
ACP2	9.862232686	10.58391931	10.09532315	11.5144342	11.28304494	11.2059975	11.35793858	11.44447243	10.21628698	11.37932485	12.04264773
ACP5	8.204952988	8.952446328	8.047442672	7.130444083	7.156160759	7.895652902	7.320053436	7.082329234	7.220854707	7.725403423	7.13122892
ACP6	11.36768878	11.22086958	10.33565019	12.38043752	11.25607394	13.79830233	12.82804822	12.55975668	11.69041173	13.07171342	11.9854026
ACPP	7.039146511	7.154714091	7.070183316	7.342854925	7.06710262	7.628990815	7.210762422	7.28366732	7.14487019	7.53761133	7.43130166
ACR	12.63582756	10.96808664	12.41054871	10.53542209	9.13198688	9.953236271	9.881471608	8.314101028	10.49200569	9.267904327	10.40125933
ACRV1	8.798399342	9.331200719	7.97375296	8.230071546	8.389151289	7.700620006	9.135730387	8.759828421	8.659558334	7.820812675	8.825903951
ACRV1	8.586580327	9.088218973	7.806848447	7.786784228	8.263354161	7.376919641	7.395151316	8.386527896	7.99095169	7.21612875	7.495939433
ACSBG1	8.598739548	8.141781923	8.070397924	9.70765601	8.242706215	8.334802144	9.980421397	8.5307343	9.190143588	8.754138678	9.358330263
ACSBG2	7.623176028	8.211601663	7.645934639	9.143840347	7.778727005	8.147588178	9.530857103	8.556428789	8.355254832	7.901869523	8.62637642
ACSF2	7.171275841	7.232284179	7.368624349	7.239725987	7.237562851	8.268553986	7.405096286	7.2810294	8.943311537	8.749494352	8.270182401
ACSL1	9.578169293	8.443659369	9.334038507	10.53132641	8.672399995	10.13158009	10.11467291	9.970918747	10.0015719	9.310143302	10.27292128
ACSL3	13.2224803	13.29991219	12.73831558	13.11084633	12.99610782	12.94083701	13.49894608	12.31906611	13.46869512	13.53105568	13.68087971
ACSL3	13.14828624	13.03393832	12.07942513	12.44380455	12.47191517	11.82182167	13.11905521	11.99564945	12.82813471	12.11317212	12.95060875
ACSL3	11.89228692	11.78492107	10.33376809	10.82563345	11.46077218	11.23210697	12.06339478	11.78770366	12.10038421	11.76044129	11.16364703
ACSL4	10.42360761	9.819653095	11.72580072	11.83376468	9.949607114	10.42291757	6.975339374	10.24931172	9.972752183	10.99275019	10.21007579
