gene	X1A	X2A	X3A	X8A	X9A	X10A.avg	X11A	X13A	X14A.avg	X16A.avg	X17A
1-Dec	-0.583742799778157	-0.287707102654402	-0.456019997767474	2.11697267175306	-0.508785540912409	-0.470061071755381	1.83244267704285	-0.581132692683982	-0.391804578697755	-0.743425512442817	0.0732639478964636
1-Mar	0.102028477585535	0.300939143526577	0.660035156377404	-1.68245443114301	0.188068180853159	0.0996811327717065	0.925601229783358	1.40421841166315	0.478186127196755	-0.75640891960763	-1.71989450900701
10-Sep	-0.50709041155743	1.19629199511415	1.03406351092371	-2.18989553960158	0.635463281490918	0.103912085487793	0.870510309506263	-0.0747444978431825	0.373271588315392	-0.508607264955043	-0.933175056881
11-Sep	0.126320221938353	-1.077936860284	-0.428604845301962	2.5231805155459	-0.822505745672114	-0.266847213665566	-0.898677939265935	0.117496216087649	0.362276031790489	-0.319762836691851	0.68506245551903
15-Sep	0.398934518273198	-0.395079998645394	-0.0432275642206923	0.710667008007562	-0.24645657682678	-0.482842365962281	-1.98826907598126	-0.895224266543355	1.32295870127772	1.54045851667652	0.0780811039447803
2-Mar	0.230423120905247	0.489075953375529	-0.0692174960912518	0.564139098022276	-0.825753255540948	0.540096425099264	-2.70911559950939	0.738873524855159	0.0314547343524349	0.59100238267146	0.419021111860222
2-Sep	-0.476283897975643	0.784108249712974	0.643950570763526	0.696426031152782	0.591904746775396	-0.054717057395493	-2.67677342341204	0.105732414708005	0.123911473606552	0.713707325783267	-0.451966433719327
3-Mar	0.315770258658676	0.244951097956434	-1.14055159248014	0.290865303871762	-1.14270774165953	1.01336271145029	-0.908281409929824	0.997923216336396	-1.06543120968169	-0.350427411793794	1.74452677727144
4-Sep	2.08954338943358	0.873670456580065	-0.700497258780619	-1.26204683830917	0.291162809040725	0.254921535436763	-0.278658150240935	0.628203554775895	-0.499484258276823	-0.0128538463506656	-1.3839613933088
5-Mar	0.489320201899019	-0.359849062091127	0.535272229665773	0.258289593592931	0.219623857666199	-0.199792966660953	-2.79551879719187	-0.0184689179408267	0.939157151698172	0.295500108461143	0.636466600901539
5-Sep	1.23109602688313	1.39484764770565	0.6448717129575	-0.0683838544069435	0.592999742897044	-0.88136159532961	-1.94780880004598	-1.0350637911892	0.247879096587031	-0.242876636242369	0.0638004501837524
6-Mar	0.966256156426309	-0.433486704785527	0.490933774346506	-0.592452756418746	-0.309401835975992	-0.203004107842176	0.522464175126566	-1.0392128509703	-1.02367624674638	-0.678148215330197	2.29972861216998
6-Sep	-0.308416188605462	1.37924600966037	0.405428894158935	-1.52529029752232	0.713308917513485	-0.249609222204483	1.51034565846584	0.6165267422004	-1.10337229957728	-0.60135799584679	-0.836810218242693
7-Mar	-0.99038612584276	-0.667153076545619	-0.721515841131776	1.6358152732814	-0.423452647450992	0.14934426690369	-1.70244505565824	0.884393517754927	0.552806815854128	1.06987597748208	0.212716895353168
7-Sep	-0.445574655600458	-1.764911436055	-0.360342124642648	1.49518660406378	-0.869897207488632	-0.145668781772235	-0.913545495740972	0.514597381182911	1.31258501965452	0.706235831354264	0.471334865044482
8-Mar	1.43381106085975	-0.508296209581861	1.52722533687744	-0.961416239221002	-0.766513172658909	0.812334705282424	-0.477251006637144	-1.61285730750802	-0.197263997692437	0.248145265123457	0.502081565156295
9-Sep	-0.19979651272812	-0.836097266998273	-0.435672002024423	1.89038671973441	-1.28565707412605	-0.318745014454926	-0.690124936568896	-0.478825087349324	0.649537406521909	0.0902004966368891	1.61479327135681
A1CF	-0.642710454444762	-0.681283166309284	-0.703073266823181	1.90534028976435	-0.28360247799481	-0.686231672075171	2.03658345139827	-0.369462480844634	-0.0429687701556552	-0.363637354892111	-0.168954097623014
A2M	-0.0048064926309339	-1.15152923926343	-0.05560681469269	2.18834761910661	-0.642772458496528	-0.749291038571634	-0.824106149324258	-0.63973798541777	0.522695543945976	0.119244545690579	1.23756246965409
A4GALT	-0.509424653879889	-0.885924788867391	-0.603418348818552	0.315344365405817	-0.593664856625053	-0.606610517147269	0.306606218737333	0.384137625205755	1.81220167675356	-1.25418613177362	1.63493941100928
A4GNT	-0.980166278137624	0.0297110555135133	-0.992662106335276	-0.313110446677737	-0.530345388317971	-0.348731132028578	2.69252996221036	-0.0753883176383203	0.386835413784681	-0.197423270813422	0.328750508440383
AAAS	-0.598901521476677	0.210532732651867	1.38538396768081	-1.49268245448934	1.32790493266285	0.659335685006316	0.168140570750543	0.152777884892026	0.578317357022074	-1.13416436867366	-1.25664478602679
AACS	-1.81548843397118	-1.2420419024994	-1.04104869361362	0.281417728956297	-0.00278311241859289	0.0299831070253183	1.34910635004141	0.186621390814751	0.796363362649339	0.256893922974079	1.20097628004159
AADAC	-0.802642697793415	-0.433206879203072	-0.656703713473911	0.585143076782926	-0.310234929396108	-0.664996190424384	2.7719116780894	-0.123969957593826	0.136147473971668	-0.330894537259379	-0.170553323699909
AAK1	0.60742072200705	-0.0234446576366594	2.38165911846488	-1.14986374382107	-0.547257728809973	0.866909341531134	-0.061039603123092	-0.694168383823193	-0.347470909821798	-0.0444775213716066	-0.988266633595668
AAMP	-1.17209665588729	-0.879661003124066	-1.47730355425653	0.318507134740807	-0.8066047434377	0.261308769498789	1.4401979943504	0.730241140594162	0.607259491597599	-0.34610190134737	1.32425332727121
AANAT	-0.486724941790291	-0.280635559252973	-0.689284647330729	1.44735705531258	-1.02029355274968	-1.44830354460919	0.728638648989728	1.12313325206342	0.374584876018183	-0.8771104038348	1.12863881718379
