gene	X102	X121	X148	X153	X169	X44	X45	X79	X96
1-Dec	-0.602143150300424	0.149052997568756	-1.13294968522813	1.77371971354958	-0.2353464545523	1.15037658622476	-1.01862768613961	-0.660773208313737	0.576690887191114
1-Mar	-0.235554898551217	0.737529809402394	-0.748405028094431	1.18679442729737	-0.150743707079429	-0.717725448205856	-0.92756598648551	-0.926353297289449	1.78202412900613
10-Sep	-0.931864925466197	-0.286810366775815	0.129550119854227	0.976360087157171	0.068808689370689	-2.0549362086355	0.240923846975629	1.11302189063247	0.74494686688732
11-Sep	1.20924637957492	-0.956444043069705	-0.492841968650281	-0.710818761190624	-0.177554784027448	-1.27414710709347	0.379189997606224	0.294396427616495	1.72897385923389
15-Sep	-0.29319198244019	-0.331081289188693	0.285430767087335	0.511076473958415	1.74687833931334	-2.05748863741216	-0.0245809128681067	0.366985694541672	-0.204028452991602
2-Mar	0.873131200367859	1.15709342206112	1.54425967198676	-0.0577793118711562	-0.226840851461122	-1.28938192063093	-0.523891714622942	-0.273475093348067	-1.20311540248153
2-Sep	-0.522176858682742	1.10121476539018	-0.5205998858089	-0.159921778433148	-0.469833325166651	-1.30807601364885	-0.35016613542442	2.03079501835253	0.198764213422002
3-Mar	0.222791240522721	1.39835025210943	-0.828822388166206	0.394448977690382	-0.227488366965547	-1.97698159303832	-0.401801365901927	0.817681796015345	0.601821447734124
4-Sep	-0.979768620355705	1.38701659442577	-0.674456541790261	1.02376429413878	0.246763812907579	-1.15165056431976	1.21683648956519	-0.829649967150079	-0.23885549742152
5-Mar	0.56887110181972	-0.939946062394626	0.972285457709468	0.690320840689695	-0.09882259809878	-1.87871338760172	1.20471568936623	0.0912188877644737	-0.609929929254471
5-Sep	0.404292410994264	0.445731316225951	0.110273180883914	-0.327116126144431	1.86941239136237	-0.488040204872662	-0.0521260453117574	-0.0174854563041038	-1.94494146683354
6-Mar	1.09959584281947	-0.134384507860561	-0.228398538361113	-0.41328156497739	-1.74858065647124	1.25077934792893	0.686411617648494	0.558046409507928	-1.07018795023451
6-Sep	-0.2583693331628	0.62625281984946	0.12478220577106	-2.02432222202996	-0.106646750285973	0.168981699115229	0.266804620006286	-0.537483164202837	1.74000012493953
7-Mar	-0.0610726918947403	-0.821433598003384	0.192575217405844	-0.0443808582757196	0.265430342807844	-1.84555777177571	0.0197829022944688	1.91309903239794	0.381557425043461
7-Sep	-0.149549783206335	-0.033178318190522	-0.986245952553804	0.0130046183211186	-0.45159653049451	-1.18376114632123	-0.405642057250279	1.34988594243204	1.84708322726352
8-Mar	0.172651820936154	-0.693136350944908	0.0755681173403298	0.889427213917399	-0.413400079856057	-2.11773449055075	1.03394763767858	0.981393998380642	0.0712821330986076
9-Sep	0.0800223626853637	-0.745235831273032	0.672796566064709	0.941836446849312	1.52407076483398	-1.07988851549805	0.3374197802846	-1.57172888726064	-0.159292686686249
A1CF	-0.686690789139694	0.210234399077861	1.04986432696614	0.898511593871857	0.0650585056059994	-2.27752884772476	0.466201145773032	-0.116174164655037	0.390523830224608
A2M	0.943358628270611	-0.76689159942505	0.613854888147866	-0.589376899484232	-1.37439334488562	0.585933067530349	1.42576933896967	-1.18767796020041	0.349423881076813
A4GALT	1.36867600283248	-1.04291386193868	0.025463304210229	-0.272166897304938	-0.183587150160934	0.291455370650891	1.60447378018504	-1.47310348143866	-0.318297067035422
A4GNT	1.93379404162051	0.780578019362919	0.253770021972149	-0.267297596030673	-0.160800535800004	-1.54542946233599	-0.0606525989406178	0.108023903930424	-1.04198579377872
AAAS	0.506469842092193	0.135780813966238	0.0878734850672192	0.583703451564971	-0.502744294380566	-2.32535448787879	0.890159151644407	-0.291870238057469	0.915982275981802
AACS	-1.08744889459631	-0.988543927861112	1.36650664326674	-0.542927022185751	0.136530703651458	-0.950185158250623	1.49754250626059	0.704017978534904	-0.135492828819891
AADAC	-0.672641578467143	0.388805829764693	-1.64229780576633	0.665466872121723	-0.742652236077988	1.80272559952084	0.598290988005575	-0.103955900963954	-0.293741768137427
AAK1	-0.310898754657718	0.56538655201381	0.345619815377623	-0.329538451708079	-0.0531394864353061	-2.1211902658235	0.991049477079991	-0.396480757641986	1.30919187179516
AAMP	0.409700360213787	0.0500277814200061	1.03458504586365	1.04105295433713	-0.415223456641254	-1.75029966102445	0.870347368613164	0.0555471999676026	-1.29573759274964
AANAT	1.06503051546498	-1.00993413139322	0.134401506688592	1.26128406700617	-0.837649264151469	-0.601033185702189	1.42515009866329	-0.953197381737855	-0.48405222483831
AARS	-0.719969666189151	-0.954559450903536	0.571568368635135	-0.713341684483628	0.826698929238127	-0.217617719554945	-0.229629564807393	-0.681418303229359	2.11826909129475
AARSD1	0.438467414616747	-0.15687800346547	0.854307837768827	-0.227129572397101	0.200295419523577	1.64023380858557	0.0432608233843512	-0.966069693304038	-1.82648803471246
AASDHPPT	-0.774904461742583	0.557380975047974	-0.0230270084161497	1.56226977013822	-0.810785266607188	-1.28075902001176	0.133188332372917	1.35019133750908	-0.713554658290509
AASS	0.441432141188864	0.826569084781313	0.563233651418524	-1.03351118318592	-0.0542137708889518	-0.957732264474766	0.630542816019046	1.26359175693894	-1.67991223179705
AATF	0.161620505318387	1.09214688041418	-0.364873640640628	0.681822698373222	0.754342305192665	0.843232143820106	-0.671314893365449	-2.0654635256003	-0.431512473512168
AATK	1.74756230605746	-0.399478236313067	-0.74367793070131	0.686135905201409	-0.911944529186918	0.215033652866892	0.586226340685752	0.370547245170053	-1.55040475378027
